Net_Passengers,2019 Total Housing Units,2019 Total Daytime Population,2019 Unemployment Rate,2014-2018 ACS Average Number of Vehicles,2014-2018 ACS HHs: Inc Below Poverty Level,2019 Median Household Income,Household Density,Daytime_Population_Density,Shape Area sqmi,2014-2018 ACS HHs: Inc Below Poverty Level,2014-2018 ACS HHs: Inc Below Poverty Level: Percent,primary_length,secondary_length,tertiary_length,walk_length,Undeveloped_Sq_Meters,Developed_OP_Sq_Meters,Developed_LI_Sq_Meters,Developed_MI_Sq_Meters,Developed_HI_Sq_Meters,Square_Meters_Residential,Square_Meters_Com_Ind_MU,Square_Meters_Other
12,191,1121,11.2,1.1,60,16148,191,1121,1,60,46.51,0.006021919,0.004474455,0.004158975,0.001301253,83700,325800,569700,500400,531900,13669.76772,149718.2487,42124.75642
22,84,886,0,0.8,41,11932,84,886,1,41,52.56,0.006021919,0.004474455,0.002019029,0.001301253,130500,278100,588600,489600,520200,16162.68997,164734.7208,32663.58847
-10,237,1050,0,0.5,118,10815,237,1050,1,118,54.13,0.00303437,0.004474455,0.002019029,0.001301253,180900,262800,575100,501300,483300,11162.91198,152812.9357,32552.0835
-116,239,1622,0,0.4,112,10919,239,1622,1,112,52.34,0.00077547,0.005002595,0.004861977,0.001301253,75600,181800,629100,634500,493200,15717.75248,178488.8535,22038.04862
346,261,1720,0.6,0.5,113,11848,261,1720,1,113,50,0.00077547,0.005002595,0.004861977,0.001301253,72900,174600,615600,611100,540900,22375.42767,171116.1946,3594.362317
-33,965,3609,1.8,1.3,151,41001,965,3609,1,151,20.52,0.004167034,0.003388128,0.001407704,0.000595023,31500,73800,459900,730800,718200,75437.5931,240438.6291,13016.35092
-130,995,3922,1.9,1.3,144,42559,995,3922,1,144,19.17,0.004167034,0.003388128,0.001407704,0.000595023,16200,39600,385200,742500,824400,75646.37052,288658.844,16844.76887
0,825,5069,2.1,1.5,80,51605,825,5069,1,80,12.58,0.004167034,0.003388128,0.001407704,0.001238184,8100,28800,315000,672300,986400,72123.6187,316612.1545,20037.69903
-10,896,6670,2.2,1.5,81,50396,896,6670,1,81,12.62,0.004167034,0.003388128,0.001407704,0.001238184,4500,24300,263700,648000,1072800,69448.57961,381897.5162,19404.49506
-144,881,8350,2.3,1.5,80,50200,881,8350,1,80,12.62,0.004167034,0.003388128,0.001407704,0.001238184,1800,21600,243900,603000,1141200,70173.69095,397573.3953,40455.10107
0,1049,11403,3.1,1.3,158,44372,1049,11403,1,158,18.94,0.004167034,0.003388128,0.001407704,0.001238184,3600,9900,178200,577800,1237500,66983.20518,437064.9707,50236.82608
-142,1053,11405,3,1.3,158,44525,1053,11405,1,158,18.85,0.004167034,0.003388128,0.001407704,0.001238184,3600,9900,178200,577800,1237500,66983.20518,437064.9707,50236.82608
-791,1005,14058,3.4,1.3,159,43564,1005,14058,1,159,19.56,0.004167034,0.003388128,0.001407704,0.001238184,5400,4500,163800,613800,1224000,69371.37922,440706.6501,50057.60872
-26,1244,15960,4.8,0,260,33775,1244,15960,1,260,25.97,0.004167034,0.003388128,0.001407704,0.001013968,5400,2700,168300,632700,1197000,81345.93098,449502.4137,52254.65268
-21,1251,16602,5.2,0,283,31819,1251,16602,1,283,28.02,0.004167034,0.003388128,0.001407704,0.001013968,5400,9000,172800,607500,1217700,76837.61234,452266.9567,56122.55929
0,1571,20495,6.8,0,430,21103,1571,20495,1,430,37.75,0.004167034,0.003388128,0.001407704,0.001013968,7200,14400,212400,559800,1211400,66147.88129,450014.1468,49976.58274
-1173,1439,19042,6.6,0,362,23794,1439,19042,1,362,35.39,0.004167034,0.003388128,0.001407704,0.001013968,7200,12600,206100,574200,1214100,68187.34985,448702.2655,42145.41019
-26,1822,21958,8.1,0,588,16262,1822,21958,1,588,42.33,0.004167034,0.003388128,0.001407704,0.001013968,7200,20700,231300,562500,1187100,64502.16801,467424.0338,44703.42273
-64,1767,28374,8.3,0,584,15637,1767,28374,1,584,43.52,0.004167034,0.003388128,0.002502882,0.001013968,7200,20700,239400,574200,1166400,65673.04828,454641.0228,50595.15961
-3,1685,29428,8.2,0,542,15859,1685,29428,1,542,43.67,0.003194174,0.003388128,0.002502882,0.001013968,7200,21600,236700,632700,1110600,74983.57427,426248.6078,62473.92408
-21,1659,29614,7.8,0,515,16943,1659,29614,1,515,42.18,0.003194174,0.003388128,0.002502882,0.001013968,7200,22500,235800,640800,1107900,75423.32284,399884.316,69389.62103
-63,1662,29919,6.8,0,412,23963,1662,29919,1,412,36.36,0.003194174,0.001636896,0.002502882,0.001013968,7200,36000,269100,650700,1051200,75028.18863,399964.7862,77583.59767
-42,1772,31440,6.6,0,444,25553,1772,31440,1,444,35.13,0.007374132,0.00141239,0.002113161,0.000108934,11700,59400,304200,736200,901800,54403.68756,385230.0117,79985.91952
-37,1807,27195,6.5,0,449,25874,1807,27195,1,449,34.57,0.007374132,0.00141239,0.000639021,0.000108934,119700,82800,306900,715500,782100,50093.27502,312603.7443,74677.50723
-11,1280,25045,5.1,1.1,231,32123,1280,25045,1,231,28.66,0.007374132,0.00141239,0.000639021,0.000108934,302400,96300,290700,650700,673200,50140.58952,267340.1159,64940.29291
0,1310,20452,5.8,1.1,234,32117,1310,20452,1,234,28.43,0.007374132,0.00141239,0.000639021,0.000108934,375300,65700,230400,664200,669600,53104.53072,248749.6774,64819.26406
0,1205,19481,5.9,1.1,204,32042,1205,19481,1,204,28.25,0.001456443,0.00141239,0.000639021,0.000108934,399600,72000,214200,649800,670500,54829.13153,257184.0301,64819.26406
-2,1034,17189,5.9,1.1,200,31906,1034,17189,1,200,28.29,0.001456443,0.001636896,0.000639021,0.000108934,481500,110700,257400,599400,565200,59734.09769,249866.1718,37278.34395
-7,1115,16419,6.2,1.1,208,31486,1115,16419,1,208,28.34,0.001456443,0.001636896,0.002187013,0.000108934,470700,126000,296100,650700,470700,58317.48575,245666.2652,20542.72889
-22,58,2120,18.5,1,15,23671,58,2120,1,15,31.25,0.002539036,0,0.003898335,0.004159403,574200,334800,324000,351900,419400,16527.8121,110057.9126,44211.82727
0,946,1800,17.4,0,245,21165,946,1800,1,245,30.51,0.002539036,0.027680965,0.004266229,0.000104051,75600,352800,871200,417600,287100,107743.2959,49004.5466,61268.7897
-64,946,1800,17.4,0,245,21165,946,1800,1,245,30.51,0.002539036,0,0.004266229,0.000104051,77400,352800,870300,422100,285300,108277.7251,49004.5466,61268.7897
0,983,1953,17.5,0,255,20966,983,1953,1,255,30.65,0.002539036,0,0.004266229,0.000104051,74700,352800,871200,417600,296100,104137.6073,47759.75662,61268.7897
90,983,1953,17.5,0,255,20966,983,1953,1,255,30.65,0.002539036,0,0.004266229,0.000104051,74700,352800,871200,417600,296100,104137.6073,47759.75662,61268.7897
